Number,Name,Run,Time,Time_Rank,Speed,Speed_Rank,Splits,Sector_Times,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
14,KIEFER Henri * (GER),1,3:47.001,14,39.647,14,"['0:43.129', '6:05.326', '7:18.973', '9:47.871', '10:31.265', '10:31.265', '10:31.265', '10:31.265', '0:43.164', '13:25.343', '15:51.750', '16:29.922', '20:46.148', '20:46.148', '20:46.148', '20:46.148', '0:43.575', '1:42.779', '2:28.162', '3:06.577', '3:47.001', '3:47.001', '3:47.001', '3:47.001', '3:47.001', '3:47.001', '3:47.001', '3:47.001']","['43.129', '322.197', '73.647', '148.898', '43.394', '0.000', '0.000', '0.000', '-588.101', '762.179', '146.407', '38.172', '256.226', '0.000', '0.000', '0.000', '-1202.573', '59.204', '45.383', '38.415', '40.424', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",0:43.129,6:05.326,7:18.973,9:47.871,10:31.265,43.129,365.326,438.973,587.871,631.265,3,71,55,60,59,43.129,322.197,73.64699999999999,148.89799999999997,43.394000000000005,3,81,36,84,41,183.872,-138.32500000000002,-211.972,-360.87,32,14,31,27
99,ILES Finn (CAN),1,3:47.310,15,39.594,15,"['0:45.051', '5:43.661', '7:18.125', '7:57.362', '8:55.564', '8:55.564', '8:55.564', '8:55.564', '0:43.907', '1:43.431', '2:29.203', '3:06.682', '3:47.310', '3:47.310', '3:47.310', '3:47.310', '3:19.429', '12:37.604', '14:14.183', '16:21.744', '17:22.647', '17:22.647', '17:22.647', '17:22.647', '0:43.989', '3:03.453', '3:49.074', '4:25.473', '5:05.808', '5:05.808', '5:05.808', '5:05.808', '3:47.310', '3:47.310', '3:47.310', '3:47.310']","['45.051', '298.610', '94.464', '39.237', '58.202', '0.000', '0.000', '0.000', '-491.657', '59.524', '45.772', '37.479', '40.628', '0.000', '0.000', '0.000', '-27.881', '558.175', '96.579', '127.561', '60.903', '0.000', '0.000', '0.000', '-998.658', '139.464', '45.621', '36.399', '40.335', '0.000', '0.000', '0.000', '-78.498', '0.000', '0.000', '0.000']",0:45.051,5:43.661,7:18.125,7:57.362,8:55.564,45.051,343.661,438.125,477.362,535.564,21,67,54,47,47,45.051,298.61,94.464,39.23700000000002,58.20199999999994,21,79,44,34,66,182.25900000000001,-116.351,-210.815,-250.05200000000002,30,17,32,37
12,PINKERTON Ryan * (USA),1,3:07.740,3,47.939,3,"['0:44.273', '2:41.297', '3:54.188', '4:31.965', '5:12.564', '5:12.564', '5:12.564', '5:12.564', '0:44.055', '3:10.859', '4:24.712', '5:02.877', '5:43.653', '5:43.653', '5:43.653', '5:43.653', '0:44.111', '2:59.148', '3:45.848', '4:23.789', '5:04.684', '5:04.684', '5:04.684', '5:04.684', '0:43.345', '1:43.022', '2:29.483', '3:07.152', '3:47.536', '3:47.536', '3:47.536', '3:47.536', '0:43.020', '1:42.667', '2:30.282', '3:07.740']","['44.273', '117.024', '72.891', '37.777', '40.599', '0.000', '0.000', '0.000', '-268.509', '146.804', '73.853', '38.165', '40.776', '0.000', '0.000', '0.000', '-299.542', '135.037', '46.700', '37.941', '40.895', '0.000', '0.000', '0.000', '-261.339', '59.677', '46.461', '37.669', '40.384', '0.000', '0.000', '0.000', '-184.516', '59.647', '47.615', '37.458']",0:44.273,2:41.297,3:54.188,4:31.965,5:12.564,44.273,161.297,234.188,271.965,312.564,14,31,23,19,19,44.273,117.024,72.89099999999999,37.77699999999999,40.599000000000046,14,44,33,9,2,143.467,26.443000000000012,-46.44799999999998,-84.22499999999997,17,32,53,59
22,THIRION Rémi (FRA),1,3:47.760,16,39.515,16,"['3:11.414', '6:51.083', '8:52.401', '12:27.290', '13:10.410', '13:10.410', '13:10.410', '13:10.410', '0:43.320', '1:43.036', '2:29.882', '3:07.845', '3:47.760', '3:47.760', '3:47.760', '3:47.760', '6:07.257', '14:48.574', '19:41.051', '21:18.282', '21:59.950', '21:59.950', '21:59.950', '21:59.950', '3:47.760', '3:47.760', '3:47.760', '3:47.760']","['191.414', '219.669', '121.318', '214.889', '43.120', '0.000', '0.000', '0.000', '-747.090', '59.716', '46.846', '37.963', '39.915', '0.000', '0.000', '0.000', '139.497', '521.317', '292.477', '97.231', '41.668', '0.000', '0.000', '0.000', '-1092.190', '0.000', '0.000', '0.000']",3:11.414,6:51.083,8:52.401,12:27.290,13:10.410,191.414,411.08299999999997,532.401,747.29,790.41,80,78,66,76,73,191.414,219.66899999999998,121.31799999999998,214.889,43.120000000000005,80,71,53,89,34,36.346000000000004,-183.32299999999998,-304.64099999999996,-519.53,10,13,23,12
34,REVELLI Loris (ITA),1,3:47.825,17,39.504,17,"['0:43.908', '1:44.471', '3:35.242', '4:59.555', '5:41.520', '5:41.520', '5:41.520', '5:41.520', '0:43.677', '1:45.020', '2:31.507', '3:10.246', '3:51.723', '3:51.723', '3:51.723', '3:51.723', '0:43.215', '1:43.276', '2:29.449', '3:06.750', '3:47.825', '3:47.825', '3:47.825', '3:47.825', '3:47.825', '3:47.825', '3:47.825', '3:47.825']","['43.908', '60.563', '110.771', '84.313', '41.965', '0.000', '0.000', '0.000', '-297.843', '61.343', '46.487', '38.739', '41.477', '0.000', '0.000', '0.000', '-188.508', '60.061', '46.173', '37.301', '41.075', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",0:43.908,1:44.471,3:35.242,4:59.555,5:41.520,43.908,104.471,215.242,299.555,341.52,6,8,20,23,22,43.908,60.563,110.77099999999999,84.31300000000002,41.964999999999975,6,11,52,63,19,183.91699999999997,123.35399999999998,12.582999999999998,-71.73000000000002,33,62,64,62
52,MAPLES Dylan * (USA),1,3:48.050,18,39.465,18,"['0:42.809', '1:42.174', '7:06.919', '7:45.580', '8:27.016', '8:27.016', '8:27.016', '8:27.016', '0:43.152', '12:20.569', '0:43.590', '1:42.920', '2:29.763', '3:08.521', '3:49.128', '3:49.128', '3:49.128', '3:49.128', '0:42.829', '1:42.932', '2:28.313', '3:07.568', '3:48.050', '3:48.050', '3:48.050', '3:48.050', '3:48.050', '3:48.050', '3:48.050', '3:48.050']","['42.809', '59.365', '324.745', '38.661', '41.436', '0.000', '0.000', '0.000', '-463.864', '697.417', '-696.979', '59.330', '46.843', '38.758', '40.607', '0.000', '0.000', '0.000', '-186.299', '60.103', '45.381', '39.255', '40.482', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",0:42.809,1:42.174,7:06.919,7:45.580,8:27.016,42.809,102.174,426.919,465.58,507.016,1,2,53,46,42,42.809,59.36500000000001,324.745,38.661,41.436000000000035,1,5,77,25,8,185.241,125.876,-198.86899999999997,-237.52999999999997,40,73,34,38
26,HATTON Charlie (GBR),1,3:48.527,19,39.383,19,"['0:44.242', '4:26.053', '5:47.635', '6:26.214', '8:28.174', '8:28.174', '8:28.174', '8:28.174', '0:43.847', '1:43.874', '2:29.991', '3:07.645', '3:48.527', '3:48.527', '3:48.527', '3:48.527', '3:21.634', '14:17.703', '17:37.178', '18:13.686', '18:53.752', '18:53.752', '18:53.752', '18:53.752', '3:48.527', '3:48.527', '3:48.527', '3:48.527']","['44.242', '221.811', '81.582', '38.579', '121.960', '0.000', '0.000', '0.000', '-464.327', '60.027', '46.117', '37.654', '40.882', '0.000', '0.000', '0.000', '-26.893', '656.069', '199.475', '36.508', '40.066', '0.000', '0.000', '0.000', '-905.225', '0.000', '0.000', '0.000']",0:44.242,4:26.053,5:47.635,6:26.214,8:28.174,44.242,266.053,347.635,386.214,508.174,13,55,46,40,43,44.242,221.811,81.582,38.57900000000001,121.95999999999998,13,72,38,22,87,184.285,-37.52600000000001,-119.108,-157.687,36,26,42,49
51,DAPRELA Thibaut (FRA),1,3:49.181,20,39.27,20,"['0:43.910', '1:44.394', '2:30.687', '3:08.994', '3:49.936', '3:49.936', '3:49.936', '3:49.936', '0:44.009', '1:43.502', '2:29.839', '3:08.284', '3:49.181', '3:49.181', '3:49.181', '3:49.181', '0:44.315', '2:33.529', '6:06.990', '6:43.849', '7:24.816', '7:24.816', '7:24.816', '7:24.816', '3:49.181', '3:49.181', '3:49.181', '3:49.181']","['43.910', '60.484', '46.293', '38.307', '40.942', '0.000', '0.000', '0.000', '-185.927', '59.493', '46.337', '38.445', '40.897', '0.000', '0.000', '0.000', '-184.866', '109.214', '213.461', '36.859', '40.967', '0.000', '0.000', '0.000', '-215.635', '0.000', '0.000', '0.000']",0:43.910,1:44.394,2:30.687,3:08.994,3:49.936,43.91,104.394,150.687,188.994,229.936,7,7,2,2,2,43.91,60.48400000000001,46.293000000000006,38.30699999999999,40.94200000000001,7,10,7,18,4,185.271,124.78699999999998,78.49399999999997,40.18699999999998,41,66,78,78
3,BROSNAN Troy (AUS),1,3:49.347,21,39.242,21,"['5:57.751', '6:58.622', '9:22.951', '10:00.702', '13:14.562', '13:14.562', '13:14.562', '13:14.562', '0:43.627', '12:06.874', '14:02.429', '14:41.046', '16:22.881', '16:22.881', '16:22.881', '16:22.881', '0:43.203', '1:43.951', '2:30.838', '3:08.651', '3:49.347', '3:49.347', '3:49.347', '3:49.347', '0:43.287', '7:08.406', '9:07.989', '9:45.428', '10:26.914', '10:26.914', '10:26.914', '10:26.914', '3:49.347', '3:49.347', '3:49.347', '3:49.347']","['357.751', '60.871', '144.329', '37.751', '193.860', '0.000', '0.000', '0.000', '-750.935', '683.247', '115.555', '38.617', '101.835', '0.000', '0.000', '0.000', '-939.678', '60.748', '46.887', '37.813', '40.696', '0.000', '0.000', '0.000', '-186.060', '385.119', '119.583', '37.439', '41.486', '0.000', '0.000', '0.000', '-397.567', '0.000', '0.000', '0.000']",5:57.751,6:58.622,9:22.951,10:00.702,13:14.562,357.751,418.622,562.951,600.702,794.562,86,79,69,63,74,357.751,60.87100000000004,144.329,37.750999999999976,193.86,86,13,63,8,90,-128.40399999999997,-189.275,-333.60400000000004,-371.355,6,12,21,26
100,O CALLAGHAN Oisin * (IRL),1,3:49.563,22,39.205,22,"['0:44.809', '2:51.358', '4:32.002', '5:09.693', '6:06.521', '6:06.521', '6:06.521', '6:06.521', '0:44.370', '1:45.304', '2:31.687', '3:09.333', '3:49.563', '3:49.563', '3:49.563', '3:49.563', '0:42.994', '1:41.962', '3:46.528', '4:25.051', '5:06.316', '5:06.316', '5:06.316', '5:06.316', '3:49.563', '3:49.563', '3:49.563', '3:49.563']","['44.809', '126.549', '100.644', '37.691', '56.828', '0.000', '0.000', '0.000', '-322.151', '60.934', '46.383', '37.646', '40.230', '0.000', '0.000', '0.000', '-186.569', '58.968', '124.566', '38.523', '41.265', '0.000', '0.000', '0.000', '-76.753', '0.000', '0.000', '0.000']",0:44.809,2:51.358,4:32.002,5:09.693,6:06.521,44.809,171.358,272.002,309.693,366.521,19,35,32,25,26,44.809,126.549,100.644,37.690999999999974,56.82800000000003,19,50,48,7,64,184.754,58.204999999999984,-42.43900000000002,-80.13,37,44,54,60
38,VIEIRA Roger (BRA),1,3:49.582,23,39.202,23,"['6:17.795', '7:52.456', '8:52.291', '10:13.987', '12:01.437', '12:01.437', '12:01.437', '12:01.437', '0:44.917', '1:46.164', '2:32.264', '3:09.725', '3:51.663', '3:51.663', '3:51.663', '3:51.663', '0:44.085', '1:44.709', '2:31.054', '3:08.639', '3:49.582', '3:49.582', '3:49.582', '3:49.582', '3:49.582', '3:49.582', '3:49.582', '3:49.582']","['377.795', '94.661', '59.835', '81.696', '107.450', '0.000', '0.000', '0.000', '-676.520', '61.247', '46.100', '37.461', '41.938', '0.000', '0.000', '0.000', '-187.578', '60.624', '46.345', '37.585', '40.943', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",6:17.795,7:52.456,8:52.291,10:13.987,12:01.437,377.795,472.456,532.2909999999999,613.987,721.437,87,81,65,64,70,377.795,94.661,59.83499999999992,81.69600000000003,107.45000000000005,87,35,26,62,85,-148.21300000000002,-242.87400000000002,-302.70899999999995,-384.405,4,10,24,24
46,CHAPELET Simon (FRA),1,3:49.592,24,39.2,24,"['0:45.434', '1:47.604', '2:35.246', '3:13.078', '3:54.843', '3:54.843', '3:54.843', '3:54.843', '0:45.486', '11:46.300', '15:11.990', '18:11.231', '0:45.034', '1:45.079', '2:31.316', '3:08.959', '3:49.592', '3:49.592', '3:49.592', '3:49.592', '3:49.592', '3:49.592', '3:49.592', '3:49.592']","['45.434', '62.170', '47.642', '37.832', '41.765', '0.000', '0.000', '0.000', '-189.357', '660.814', '205.690', '179.241', '-1046.197', '60.045', '46.237', '37.643', '40.633', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",0:45.434,1:47.604,2:35.246,3:13.078,3:54.843,45.434,107.604,155.246,193.078,234.84300000000002,26,13,7,6,6,45.434,62.17,47.64200000000001,37.831999999999994,41.765000000000015,26,20,11,11,16,184.158,121.98799999999999,74.34599999999998,36.51399999999998,35,59,73,72
5,HART Danny (GBR),1,3:49.981,25,39.134,25,"['0:44.594', '1:45.072', '2:32.711', '3:11.337', '3:53.024', '3:53.024', '3:53.024', '3:53.024', '0:44.348', '1:44.549', '2:32.103', '3:10.622', '3:52.489', '3:52.489', '3:52.489', '3:52.489', '0:44.001', '1:45.342', '2:32.047', '3:10.001', '3:50.883', '3:50.883', '3:50.883', '3:50.883', '0:44.004', '1:44.475', '2:30.706', '3:08.915', '3:49.981', '3:49.981', '3:49.981', '3:49.981', '3:49.981', '3:49.981', '3:49.981', '3:49.981']","['44.594', '60.478', '47.639', '38.626', '41.687', '0.000', '0.000', '0.000', '-188.676', '60.201', '47.554', '38.519', '41.867', '0.000', '0.000', '0.000', '-188.488', '61.341', '46.705', '37.954', '40.882', '0.000', '0.000', '0.000', '-186.879', '60.471', '46.231', '38.209', '41.066', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",0:44.594,1:45.072,2:32.711,3:11.337,3:53.024,44.594,105.072,152.711,191.337,233.024,17,9,4,4,4,44.594,60.478,47.63900000000001,38.625999999999976,41.68700000000001,17,9,10,23,15,185.387,124.90899999999999,77.26999999999998,38.644000000000005,43,68,76,77
48,CRAIK George Ethan * (GBR),1,3:50.014,26,39.128,26,"['0:44.146', '2:42.090', '10:30.723', '12:29.496', '13:31.231', '13:31.231', '13:31.231', '13:31.231', '0:44.843', '1:43.278', '2:29.527', '3:07.538', '3:50.014', '3:50.014', '3:50.014', '3:50.014', '3:50.014', '3:50.014', '3:50.014', '3:50.014']","['44.146', '117.944', '468.633', '118.773', '61.735', '0.000', '0.000', '0.000', '-766.388', '58.435', '46.249', '38.011', '42.476', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",0:44.146,2:42.090,10:30.723,12:29.496,13:31.231,44.146,162.09,630.723,749.496,811.231,12,32,74,77,76,44.146,117.944,468.6329999999999,118.77300000000002,61.735000000000014,12,45,86,73,68,185.868,67.924,-400.70899999999995,-519.482,47,48,13,13
